Date,Province,Country,Cases,Deaths,Recoveries
1/22/20,,Italy,0,0,0
1/23/20,,Italy,0,0,0
1/24/20,,Italy,0,0,0
1/25/20,,Italy,0,0,0
1/26/20,,Italy,0,0,0
1/27/20,,Italy,0,0,0
1/28/20,,Italy,0,0,0
1/29/20,,Italy,0,0,0
1/30/20,,Italy,0,0,0
1/31/20,,Italy,2,0,0
2/1/20,,Italy,2,0,0
2/2/20,,Italy,2,0,0
2/3/20,,Italy,2,0,0
2/4/20,,Italy,2,0,0
2/5/20,,Italy,2,0,0
2/6/20,,Italy,2,0,0
2/7/20,,Italy,3,0,0
2/8/20,,Italy,3,0,0
2/9/20,,Italy,3,0,0
2/10/20,,Italy,3,0,0
2/11/20,,Italy,3,0,0
2/12/20,,Italy,3,0,0
2/13/20,,Italy,3,0,0
2/14/20,,Italy,3,0,0
2/15/20,,Italy,3,0,0
2/16/20,,Italy,3,0,0
2/17/20,,Italy,3,0,0
2/18/20,,Italy,3,0,0
2/19/20,,Italy,3,0,0
2/20/20,,Italy,3,0,0
2/21/20,,Italy,20,1,0
2/22/20,,Italy,62,2,1
2/23/20,,Italy,155,3,2
2/24/20,,Italy,229,7,1
2/25/20,,Italy,322,10,1
2/26/20,,Italy,453,12,3
2/27/20,,Italy,655,17,45
2/28/20,,Italy,888,21,46
2/29/20,,Italy,1128,29,46
3/1/20,,Italy,1694,34,83
3/2/20,,Italy,2036,52,149
3/3/20,,Italy,2502,79,160
3/4/20,,Italy,3089,107,276
3/5/20,,Italy,3858,148,414
3/6/20,,Italy,4636,197,523
3/7/20,,Italy,5883,233,589
3/8/20,,Italy,7375,366,622
3/9/20,,Italy,9172,463,724
3/10/20,,Italy,10149,631,724
3/11/20,,Italy,12462,827,1045
3/12/20,,Italy,12462,827,1045
3/13/20,,Italy,17660,1266,1439
3/14/20,,Italy,21157,1441,1966
3/15/20,,Italy,24747,1809,2335
3/16/20,,Italy,27980,2158,2749
3/17/20,,Italy,31506,2503,2941
3/18/20,,Italy,35713,2978,4025
3/19/20,,Italy,41035,3405,4440
3/20/20,,Italy,47021,4032,4440
3/21/20,,Italy,53578,4825,6072
3/22/20,,Italy,59138,5476,7024
3/23/20,,Italy,63927,6077,7024
3/24/20,,Italy,69176,6820,8326
3/25/20,,Italy,74386,7503,9362
3/26/20,,Italy,80589,8215,10361
3/27/20,,Italy,86498,9134,10950
3/28/20,,Italy,92472,10023,12384
3/29/20,,Italy,97689,10779,13030
3/30/20,,Italy,101739,11591,14620
3/31/20,,Italy,105792,12428,15729
4/1/20,,Italy,110574,13155,16847
4/2/20,,Italy,115242,13915,18278
4/3/20,,Italy,119827,14681,19758
4/4/20,,Italy,124632,15362,20996
1/22/20,,France,0,0,0
1/23/20,,France,0,0,0
1/24/20,,France,2,0,0
1/25/20,,France,3,0,0
1/26/20,,France,3,0,0
1/27/20,,France,3,0,0
1/28/20,,France,4,0,0
1/29/20,,France,5,0,0
1/30/20,,France,5,0,0
1/31/20,,France,5,0,0
2/1/20,,France,6,0,0
2/2/20,,France,6,0,0
2/3/20,,France,6,0,0
2/4/20,,France,6,0,0
2/5/20,,France,6,0,0
2/6/20,,France,6,0,0
2/7/20,,France,6,0,0
2/8/20,,France,11,0,0
2/9/20,,France,11,0,0
2/10/20,,France,11,0,0
2/11/20,,France,11,0,0
2/12/20,,France,11,0,2
2/13/20,,France,11,0,2
2/14/20,,France,11,0,2
2/15/20,,France,12,1,4
2/16/20,,France,12,1,4
2/17/20,,France,12,1,4
2/18/20,,France,12,1,4
2/19/20,,France,12,1,4
2/20/20,,France,12,1,4
2/21/20,,France,12,1,4
2/22/20,,France,12,1,4
2/23/20,,France,12,1,4
2/24/20,,France,12,1,4
2/25/20,,France,14,1,11
2/26/20,,France,18,2,11
2/27/20,,France,38,2,11
2/28/20,,France,57,2,11
2/29/20,,France,100,2,12
3/1/20,,France,130,2,12
3/2/20,,France,191,3,12
3/3/20,,France,204,4,12
3/4/20,,France,285,4,12
3/5/20,,France,377,6,12
3/6/20,,France,653,9,12
3/7/20,,France,949,11,12
3/8/20,,France,1126,19,12
3/9/20,,France,1209,19,12
3/10/20,,France,1784,33,12
3/11/20,,France,2281,48,12
3/12/20,,France,2281,48,12
3/13/20,,France,3661,79,12
3/14/20,,France,4469,91,12
3/15/20,,France,4499,91,12
3/16/20,,France,6633,148,12
3/17/20,,France,7652,148,12
3/18/20,,France,9043,148,12
3/19/20,,France,10871,243,12
3/20/20,,France,12612,450,12
3/21/20,,France,14282,562,12
3/22/20,,France,16018,674,2200
3/23/20,,France,19856,860,2200
3/24/20,,France,22304,1100,3243
3/25/20,,France,25233,1331,3900
3/26/20,,France,29155,1696,4948
3/27/20,,France,32964,1995,5700
3/28/20,,France,37575,2314,5700
3/29/20,,France,40174,2606,7202
3/30/20,,France,44550,3024,7927
3/31/20,,France,52128,3523,9444
4/1/20,,France,56989,4032,10934
4/2/20,,France,59105,5387,12428
4/3/20,,France,64338,6507,14008
4/4/20,,France,89953,7560,15438
1/22/20,,United Kingdom,0,0,0
1/23/20,,United Kingdom,0,0,0
1/24/20,,United Kingdom,0,0,0
1/25/20,,United Kingdom,0,0,0
1/26/20,,United Kingdom,0,0,0
1/27/20,,United Kingdom,0,0,0
1/28/20,,United Kingdom,0,0,0
1/29/20,,United Kingdom,0,0,0
1/30/20,,United Kingdom,0,0,0
1/31/20,,United Kingdom,2,0,0
2/1/20,,United Kingdom,2,0,0
2/2/20,,United Kingdom,2,0,0
2/3/20,,United Kingdom,2,0,0
2/4/20,,United Kingdom,2,0,0
2/5/20,,United Kingdom,2,0,0
2/6/20,,United Kingdom,2,0,0
2/7/20,,United Kingdom,3,0,0
2/8/20,,United Kingdom,3,0,0
2/9/20,,United Kingdom,3,0,0
2/10/20,,United Kingdom,8,0,0
2/11/20,,United Kingdom,8,0,0
2/12/20,,United Kingdom,9,0,1
2/13/20,,United Kingdom,9,0,1
2/14/20,,United Kingdom,9,0,1
2/15/20,,United Kingdom,9,0,1
2/16/20,,United Kingdom,9,0,8
2/17/20,,United Kingdom,9,0,8
2/18/20,,United Kingdom,9,0,8
2/19/20,,United Kingdom,9,0,8
2/20/20,,United Kingdom,9,0,8
2/21/20,,United Kingdom,9,0,8
2/22/20,,United Kingdom,9,0,8
2/23/20,,United Kingdom,9,0,8
2/24/20,,United Kingdom,13,0,8
2/25/20,,United Kingdom,13,0,8
2/26/20,,United Kingdom,13,0,8
2/27/20,,United Kingdom,15,0,8
2/28/20,,United Kingdom,20,0,8
2/29/20,,United Kingdom,23,0,8
3/1/20,,United Kingdom,36,0,8
3/2/20,,United Kingdom,40,0,8
3/3/20,,United Kingdom,51,0,8
3/4/20,,United Kingdom,85,0,8
3/5/20,,United Kingdom,115,1,8
3/6/20,,United Kingdom,163,2,8
3/7/20,,United Kingdom,206,2,18
3/8/20,,United Kingdom,273,3,18
3/9/20,,United Kingdom,321,4,18
3/10/20,,United Kingdom,382,6,18
3/11/20,,United Kingdom,456,8,18
3/12/20,,United Kingdom,456,8,18
3/13/20,,United Kingdom,798,8,18
3/14/20,,United Kingdom,1140,21,18
3/15/20,,United Kingdom,1140,21,18
3/16/20,,United Kingdom,1543,55,20
3/17/20,,United Kingdom,1950,55,52
3/18/20,,United Kingdom,2626,71,65
3/19/20,,United Kingdom,2689,137,65
3/20/20,,United Kingdom,3983,177,65
3/21/20,,United Kingdom,5018,233,65
3/22/20,,United Kingdom,5683,281,65
3/23/20,,United Kingdom,6650,335,65
3/24/20,,United Kingdom,8077,422,135
3/25/20,,United Kingdom,9529,465,135
3/26/20,,United Kingdom,11658,578,135
3/27/20,,United Kingdom,14543,759,135
3/28/20,,United Kingdom,17089,1019,135
3/29/20,,United Kingdom,19522,1228,135
3/30/20,,United Kingdom,22141,1408,135
3/31/20,,United Kingdom,25150,1789,135
4/1/20,,United Kingdom,29474,2352,135
4/2/20,,United Kingdom,33718,2921,135
4/3/20,,United Kingdom,38168,3605,135
4/4/20,,United Kingdom,41903,4313,135
